sub_x,type,valid,within_trial_TR_x,cor
52,within,valid-invalid,13,720
52,within,valid-invalid,14,720
52,within,valid-invalid,15,720
52,within,valid-invalid,16,720
52,within,valid-invalid,17,720
52,within,valid-invalid,18,720
52,within,valid-invalid,19,720
52,within,valid-invalid,20,720
52,within,valid-invalid,21,720
52,within,valid-invalid,22,720
52,within,valid-invalid,23,720
52,within,valid-invalid,24,720
52,within,valid-valid,1,720
52,within,valid-valid,2,720
52,within,valid-valid,3,720
52,within,valid-valid,4,720
52,within,valid-valid,5,720
52,within,valid-valid,6,720
52,within,valid-valid,7,720
52,within,valid-valid,8,720
52,within,valid-valid,9,720
52,within,valid-valid,10,720
52,within,valid-valid,11,720
52,within,valid-valid,12,720
52,within,valid-valid,13,720
52,within,valid-valid,14,720
52,within,valid-valid,15,720
52,within,valid-valid,16,720
52,within,valid-valid,17,720
52,within,valid-valid,18,720
52,within,valid-valid,19,720
52,within,valid-valid,20,720
52,within,valid-valid,21,720
52,within,valid-valid,22,720
52,within,valid-valid,23,720
52,within,valid-valid,24,720
